風茹茶	乾杯現調飲品三多店	澎湖縣馬公市三多路113號	102/9	加保?Carbaryl 0.20;;達馬松Methamidophos 0.41
空心菜	萬丹國小	屏東縣萬丹鄉寶厝村萬新路1497號	102/9	百克敏Pyraclostrobin 0.04
省產甜豌豆	大潤發流通事業股份有限公司中壢分公司	中壢市中北路二段468號	102/9	毆?斯Oxadixyl 0.13
百香果	竹南國小	苗栗縣竹南鎮中正路146號	102/9	待克?Difenoconazole 0.08;;達馬松Methamidophos 0.65
油菜	軒成食品有限公司	高雄市前鎮區新衙路286-8號	102/10	芬普尼Fipronil 0.02;;百利普芬Pyriproxyfen 0.02
桔子	惠好有限公司中正營業所(屏東好媳婦)	屏東市中正路437號	102/10	菲克利Hexaconazole 0.14
小白菜	陸軍後勤指揮部副食供應中心	澎湖縣馬公市東衛里129-30號	102/10	待克利Difenoconazole 0.14
木耳	大業國中	嘉義市東區大業街57號	102/10	陶斯松Chlorpyrifos 0.02
豌豆莢	金門縣農會農特產品展售中心	金門縣金城鎮民生路6號	102/10	百利普芬Pyriproxyfen 0.03;;得克利Tebuconazole 0.04
莧菜	長興國小	基隆市東新街3號	102/10	賽座滅Cyazofamid 0.49
新世紀梨	大原水?行	宜蘭縣羅東鎮清潭(開元市場139攤)	102/10	二福隆Diflubenzuron 0.03
芹菜	鮮美果菜行	花蓮縣中央路3段403號	102/10	氟比來Fluopicolide 0.06
香菜	富頌果菜行	花蓮縣吉安鄉果菜市場中央路3段403號	102/10	百克敏Pyraclostrobin 0.11
小白菜	台菁果菜行	花蓮縣吉安鄉果菜市場中央路3段403號	102/10	芬普尼Fipronil 0.20
紅辣椒	花蓮用銷合作社	花蓮縣吉安鄉果菜市場中央路3段403號	102/10	三氟敏Trifloxystrobin 0.57;;待克利Difenoconazole 0.09
牛番茄	志康聯合超市	花蓮縣光復鄉中山路2段315號	102/10	待克利Difenoconazole 0.09
油菜	龍騰皓有限公司	雲林縣北港鎮民樂路246號	102/10	芬普尼Fipronil0.021
紅辣椒	全聯實業股份有限公司南陽店	南投市文昌街19號	102/10	待克利Difenoconazole 0.90
小白菜	鶴岡國小	苗栗縣公館鄉鶴山村4鄰197號	102/10	芬普尼Fipronil0.009
芹菜	大菜市1018號	新竹市經國路411號	102/10	達滅芬Dimethomorph 0.08;;氟比來Fluopicolide 0.08;;三氟敏Trifloxystrobin 0.26;;護矽得Flusilazole 0.03
敏豆	屏東市果菜市場	屏東市和生路2段221號	102/10	達滅芬Dimethomorph 0.37
甜椒	尚青蔬果運銷合作社	屏東市中山路65號	102/10	克凡派Chlorfenapyr 0.15;;待克利Difenoconazole 0.25;;護汰寧Fludioxonil 0.05
小白菜	陳法清	連江縣南竿鄉介壽村314號	102/10	待克利Difenoconazole 0.07
青江菜	大宗餐盒食品工廠	臺中市后里區福興路124-2號	102/11	芬普尼Fipronil 0.148
辣椒	台邑農畜產品有限公司	臺中市梧棲區中興路217巷19號	102/11	待克利Difenoconazole 1.69;;凡殺同Famoxadone 0.41;;普克利Propiconazole 0.22;;得克利Tebuconazole 0.04
美國大同	喜美超市梧棲店	臺中市梧棲區中興路69號	102/11	賜派芬Spirodiclofen 0.07
油菜	中一餐盒食品工廠	台中市大里區東興路250號	102/11	巴克素Paclobutrazol 0.06
油菜	陸軍後勤指揮部副食供應中心	臺中市太平區中山路2段225號	102/11	樂滅草Oxadiazon 0.03
小白菜	潔達有限公司	台中市南區樹義路39巷1號	102/11	待克利Difenoconazole 0.49;;平克座Penconazole 0.03;;芬普尼Fipronil 0.050
青椒	全聯實業股份有限公司彰化埔心分公司	彰化縣埔心鄉義尾村員鹿路二段600號	102/11	克凡派Chlorfenapyr 0.43
茄子	小城百貨有限公司埔心店	彰化縣埔心鄉東門村員鹿路二段201號	102/11	毆?多Propargite 0.04
茄子	花蓮縣瑞穗鄉農會生鮮超市	花蓮縣中山路一段126號	102/11	得克利Tebuconazole 0.04
空心菜	雪卿果菜行	花蓮市美崙市場41號	102/11	剋安勃Chlorantraniliprole 0.10
小白菜	家樂福量販店	彰化縣金馬路二段321號	102/11	芬普尼Fipronil 0.007
敏豆	隆順商店	連江縣介壽村362號	102/11	嘉保信Oxycarboxin 1.26
小白菜	關西鎮農會供銷部	新竹縣關西鎮北山里10鄰6號	102/11	芬普尼Fipronil 0.003
甜椒	原食餐坊	雲林縣斗六市南興街27號	102/11	芬普?Fenpyroximate 0.32;;氟比來Fluopicolide 0.20;;克收欣Kresoxim-methyl 0.40
高麗菜芽	大買家股份有限公司台中北屯分公司	台中市北屯區北屯路370號	102/11	雙特松Dicrotophos 0.03
台灣葉萵苣	台灣楓康超市股份有限公司	台中市西屯區青海路2段240-6號	102/11	待克利Difenoconazole 1.04
茼蒿	惠康百貨股份有限公司	台中市中區中正路80號	102/11	剋安勃Chlorantraniliprole 0.41
